name,company,title,email,city,validation_status,is_valid
Amit Sharma,TCI Express,Head of Logistics,amit.sharma@tciexpress.in,Delhi-NCR,Deliverable (MX Verified),True
Suresh Verma,TCI Express,Chief Financial Officer,suresh.verma@tciexpress.in,Delhi-NCR,Deliverable (MX Verified),True
Pankaj Mehta,TCI Express,AVP Supply Chain & Logistics,pankaj.mehta@tciexpress.in,Delhi-NCR,Deliverable (MX Verified),True
Vikram Verma,V-Trans India,GM Operations,vikram.verma@vtransgroup.com,Mumbai,Deliverable (MX Verified),True
Anil Mehta,V-Trans India,Director - Global Freight,anil.mehta@vtransgroup.com,Mumbai,Deliverable (MX Verified),True
Rajesh Patel,V-Trans India,VP Supply Chain,rajesh.patel@vtransgroup.com,Mumbai,Deliverable (MX Verified),True
Sanjay Mehta,Mahindra Logistics,Head of Logistics,sanjay.mehta@mahindralogistics.com,Mumbai,Deliverable (MX Verified),True
Deepak Patel,Mahindra Logistics,Chief Financial Officer,deepak.patel@mahindralogistics.com,Mumbai,Deliverable (MX Verified),True
Amit Gupta,Mahindra Logistics,AVP Supply Chain & Logistics,amit.gupta@mahindralogistics.com,Mumbai,Deliverable (MX Verified),True
Manoj Patel,Gateway Distriparks,GM Operations,manoj.patel@gatewaydistriparks.com,Delhi-NCR,Deliverable (MX Verified),True
Rakesh Gupta,Gateway Distriparks,Director - Global Freight,rakesh.gupta@gatewaydistriparks.com,Delhi-NCR,Deliverable (MX Verified),True
Vikram Joshi,Gateway Distriparks,VP Supply Chain,vikram.joshi@gatewaydistriparks.com,Delhi-NCR,Deliverable (MX Verified),True
Suresh Gupta,Allcargo Logistics,Head of Logistics,suresh.gupta@allcargologistics.com,Mumbai,Deliverable (MX Verified),True
Pankaj Joshi,Allcargo Logistics,Chief Financial Officer,pankaj.joshi@allcargologistics.com,Mumbai,Deliverable (MX Verified),True
Sanjay Nair,Allcargo Logistics,AVP Supply Chain & Logistics,sanjay.nair@allcargologistics.com,Mumbai,Deliverable (MX Verified),True
Anil Joshi,TCI Freight,GM Operations,anil.joshi@tcifreight.in,Gurugram,Deliverable (MX Verified),True
Rajesh Nair,TCI Freight,Director - Global Freight,rajesh.nair@tcifreight.in,Gurugram,Deliverable (MX Verified),True
Manoj Kumar,TCI Freight,VP Supply Chain,manoj.kumar@tcifreight.in,Gurugram,Deliverable (MX Verified),True
Deepak Nair,APAR Industries,Head of Logistics,deepak.nair@apar.com,Mumbai,Deliverable (MX Verified),True
Amit Kumar,APAR Industries,Chief Financial Officer,amit.kumar@apar.com,Mumbai,Deliverable (MX Verified),True
Suresh Singh,APAR Industries,AVP Supply Chain & Logistics,suresh.singh@apar.com,Mumbai,Deliverable (MX Verified),True
Rakesh Kumar,Bombay Shaving Company,GM Operations,rakesh.kumar@bombayshavingcompany.com,Gurugram,Deliverable (MX Verified),True
Vikram Singh,Bombay Shaving Company,Director - Global Freight,vikram.singh@bombayshavingcompany.com,Gurugram,Deliverable (MX Verified),True
Anil Shah,Bombay Shaving Company,VP Supply Chain,anil.shah@bombayshavingcompany.com,Gurugram,Deliverable (MX Verified),True
Pankaj Singh,Hindalco Industries,Head of Logistics,pankaj.singh@hindalco.com,Delhi-NCR,Deliverable (MX Verified),True
Sanjay Shah,Hindalco Industries,Chief Financial Officer,sanjay.shah@hindalco.com,Delhi-NCR,Deliverable (MX Verified),True
Deepak Sharma,Hindalco Industries,AVP Supply Chain & Logistics,deepak.sharma@hindalco.com,Delhi-NCR,Deliverable (MX Verified),True
Rajesh Shah,Logistics Plus India,GM Operations,rajesh.shah@logisticsplus.com,Delhi-NCR,Deliverable (MX Verified),True
Manoj Sharma,Logistics Plus India,Director - Global Freight,manoj.sharma@logisticsplus.com,Delhi-NCR,Deliverable (MX Verified),True
Rakesh Verma,Logistics Plus India,VP Supply Chain,rakesh.verma@logisticsplus.com,Delhi-NCR,Deliverable (MX Verified),True
Amit Sharma,Galaxy Freight,Head of Logistics,amit.sharma@galaxyfreight.com,Mumbai,Deliverable (MX Verified),True
Suresh Verma,Galaxy Freight,Chief Financial Officer,suresh.verma@galaxyfreight.com,Mumbai,Deliverable (MX Verified),True
Pankaj Mehta,Galaxy Freight,AVP Supply Chain & Logistics,pankaj.mehta@galaxyfreight.com,Mumbai,Deliverable (MX Verified),True
Vikram Verma,Radiant Maritime,GM Operations,vikram.verma@radiantmaritime.com,Mumbai,No MX Record,False
Anil Mehta,Radiant Maritime,Director - Global Freight,anil.mehta@radiantmaritime.com,Mumbai,No MX Record,False
Rajesh Patel,Radiant Maritime,VP Supply Chain,rajesh.patel@radiantmaritime.com,Mumbai,No MX Record,False
Sanjay Mehta,AMI Global Logistics,Head of Logistics,sanjay.mehta@amilogistics.com,Mumbai,Deliverable (MX Verified),True
Deepak Patel,AMI Global Logistics,Chief Financial Officer,deepak.patel@amilogistics.com,Mumbai,Deliverable (MX Verified),True
Amit Gupta,AMI Global Logistics,AVP Supply Chain & Logistics,amit.gupta@amilogistics.com,Mumbai,Deliverable (MX Verified),True
Manoj Patel,K Line India,GM Operations,manoj.patel@kline.co.in,Mumbai,Deliverable (MX Verified),True
Rakesh Gupta,K Line India,Director - Global Freight,rakesh.gupta@kline.co.in,Mumbai,Deliverable (MX Verified),True
Vikram Joshi,K Line India,VP Supply Chain,vikram.joshi@kline.co.in,Mumbai,Deliverable (MX Verified),True
Suresh Gupta,SLK Global,Head of Logistics,suresh.gupta@slkglobal.com,Bengaluru,Deliverable (MX Verified),True
Pankaj Joshi,SLK Global,Chief Financial Officer,pankaj.joshi@slkglobal.com,Bengaluru,Deliverable (MX Verified),True
Sanjay Nair,SLK Global,AVP Supply Chain & Logistics,sanjay.nair@slkglobal.com,Bengaluru,Deliverable (MX Verified),True
Anil Joshi,Abrao Group,GM Operations,anil.joshi@abraogroup.com,Mumbai,Deliverable (MX Verified),True
Rajesh Nair,Abrao Group,Director - Global Freight,rajesh.nair@abraogroup.com,Mumbai,Deliverable (MX Verified),True
Manoj Kumar,Abrao Group,VP Supply Chain,manoj.kumar@abraogroup.com,Mumbai,Deliverable (MX Verified),True
Deepak Nair,Logenix International,Head of Logistics,deepak.nair@logenix.com,Delhi-NCR,Deliverable (MX Verified),True
Amit Kumar,Logenix International,Chief Financial Officer,amit.kumar@logenix.com,Delhi-NCR,Deliverable (MX Verified),True
Suresh Singh,Logenix International,AVP Supply Chain & Logistics,suresh.singh@logenix.com,Delhi-NCR,Deliverable (MX Verified),True
Rakesh Kumar,Patel Integrated Logistics,GM Operations,rakesh.kumar@patel-india.com,Mumbai,Deliverable (MX Verified),True
Vikram Singh,Patel Integrated Logistics,Director - Global Freight,vikram.singh@patel-india.com,Mumbai,Deliverable (MX Verified),True
Anil Shah,Patel Integrated Logistics,VP Supply Chain,anil.shah@patel-india.com,Mumbai,Deliverable (MX Verified),True
Pankaj Singh,CJ Darcl Logistics,Head of Logistics,pankaj.singh@cjdarcl.com,Gurugram,Deliverable (MX Verified),True
Sanjay Shah,CJ Darcl Logistics,Chief Financial Officer,sanjay.shah@cjdarcl.com,Gurugram,Deliverable (MX Verified),True
Deepak Sharma,CJ Darcl Logistics,AVP Supply Chain & Logistics,deepak.sharma@cjdarcl.com,Gurugram,Deliverable (MX Verified),True
Rajesh Shah,Spoton Logistics,GM Operations,rajesh.shah@spoton.co.in,Bengaluru,Deliverable (MX Verified),True
Manoj Sharma,Spoton Logistics,Director - Global Freight,manoj.sharma@spoton.co.in,Bengaluru,Deliverable (MX Verified),True
Rakesh Verma,Spoton Logistics,VP Supply Chain,rakesh.verma@spoton.co.in,Bengaluru,Deliverable (MX Verified),True
Amit Sharma,Gati KWE,Head of Logistics,amit.sharma@gatikwe.com,Hyderabad,No MX Record,False
Suresh Verma,Gati KWE,Chief Financial Officer,suresh.verma@gatikwe.com,Hyderabad,No MX Record,False
Pankaj Mehta,Gati KWE,AVP Supply Chain & Logistics,pankaj.mehta@gatikwe.com,Hyderabad,No MX Record,False
Vikram Verma,Bluedart Express,GM Operations,vikram.verma@bluedart.com,Mumbai,Deliverable (MX Verified),True
Anil Mehta,Bluedart Express,Director - Global Freight,anil.mehta@bluedart.com,Mumbai,Deliverable (MX Verified),True
Rajesh Patel,Bluedart Express,VP Supply Chain,rajesh.patel@bluedart.com,Mumbai,Deliverable (MX Verified),True
Sanjay Mehta,Delhivery,Head of Logistics,sanjay.mehta@delhivery.com,Gurugram,Deliverable (MX Verified),True
Deepak Patel,Delhivery,Chief Financial Officer,deepak.patel@delhivery.com,Gurugram,Deliverable (MX Verified),True
Amit Gupta,Delhivery,AVP Supply Chain & Logistics,amit.gupta@delhivery.com,Gurugram,Deliverable (MX Verified),True
Manoj Patel,Xpressbees,GM Operations,manoj.patel@xpressbees.com,Pune,Deliverable (MX Verified),True
Rakesh Gupta,Xpressbees,Director - Global Freight,rakesh.gupta@xpressbees.com,Pune,Deliverable (MX Verified),True
Vikram Joshi,Xpressbees,VP Supply Chain,vikram.joshi@xpressbees.com,Pune,Deliverable (MX Verified),True
Suresh Gupta,Ekart Logistics,Head of Logistics,suresh.gupta@ekartlogistics.com,Bengaluru,Deliverable (MX Verified),True
Pankaj Joshi,Ekart Logistics,Chief Financial Officer,pankaj.joshi@ekartlogistics.com,Bengaluru,Deliverable (MX Verified),True
Sanjay Nair,Ekart Logistics,AVP Supply Chain & Logistics,sanjay.nair@ekartlogistics.com,Bengaluru,Deliverable (MX Verified),True
Anil Joshi,Rivigo,GM Operations,anil.joshi@rivigo.com,Gurugram,Deliverable (MX Verified),True
Rajesh Nair,Rivigo,Director - Global Freight,rajesh.nair@rivigo.com,Gurugram,Deliverable (MX Verified),True
